price,want_person,look_time,area,title,url
1200,0,114,"['广州', '增城']",二手摩托车转卖,http://zhuanzhuan.58.com/detail/892085017832259596z.shtml
50,2,295,"['广州', '越秀']",丽贝乐幼儿滑板车，2岁以上,http://zhuanzhuan.58.com/detail/867756041583853575z.shtml
1450,15,518,"['广州', '天河']",苹果笔记本电脑,http://zhuanzhuan.58.com/detail/890744815201927175z.shtml
1499,1,133,"['广州', '增城']",9成新女孩上下班车低价转让,http://zhuanzhuan.58.com/detail/892057867307515910z.shtml
1880,0,72,"['广州', '番禺']",没任何疑难杂症，没暗病。。有八九成新，99新,http://zhuanzhuan.58.com/detail/891954795729731592z.shtml
100,0,9,"['广州', '增城']",灯,http://zhuanzhuan.58.com/detail/891612912240492551z.shtml
300,3,215,"['广州', '南沙']",华硕笔记本电脑 N43S （9成新）,http://zhuanzhuan.58.com/detail/892282443927961607z.shtml
1.4万,2,698,"['广州', '番禺']",华为 Mate9保时捷 全新未拆封华为 Mate9保时捷版。曜石黑，Porsche,http://zhuanzhuan.58.com/detail/891594496549060621z.shtml
350,0,8,"['广州', '越秀']",德国坦克傲龙7.1USB    全新带塑封,http://zhuanzhuan.58.com/detail/891497067155079175z.shtml
2576,3,33,"['广州', '白云']",1台个人自己用的戴尔i7笔记本电脑  512g固态硬盘,http://zhuanzhuan.58.com/detail/892259001735446539z.shtml
80,3,95,"['广州', '番禺']",宝宝推车,http://zhuanzhuan.58.com/detail/891334046006181896z.shtml
550,6,652,"['广州', '天河']",vivo Y35 自己用的八九成新手机便宜出售！,http://zhuanzhuan.58.com/detail/889446931972210695z.shtml
600,0,2,"['德州', '德城']",联想乐拍，九成新。别人送给孩子的，基本没用过。,http://zhuanzhuan.58.com/detail/892344759943151622z.shtml
320,0,5,"['广州', '越秀']",3系拆车小屏,http://zhuanzhuan.58.com/detail/892293110642278409z.shtml
88,1,75,"['广州', '番禺']",风水书 畅销书《入地眼全书》《红白喜事》《万事不求人》,http://zhuanzhuan.58.com/detail/852460119259660295z.shtml
798,0,16,"['广州', '番禺']",双胞胎婴儿推车可坐可躺，买半年时间，九成新低于6折转让（,http://zhuanzhuan.58.com/detail/892305318355648524z.shtml
45,1,95,"['广州', '白云']",打包图书,http://zhuanzhuan.58.com/detail/754138819817619460z.shtml
8,1,4,"['广州', '荔湾']",世界未解之谜,http://zhuanzhuan.58.com/detail/891469119861817355z.shtml
5500,2,454,"['合肥', '蜀山']",苹果 iPhone7 Plus iphone7p,http://zhuanzhuan.58.com/detail/888087505567678475z.shtml
80,4,2504,"['广州', '荔湾']",个人闲置电脑和配件一批,http://zhuanzhuan.58.com/detail/799181631338659841z.shtml
2399,11,2205,"['广州', '白云']",苹果 iPhone6s Plus iphone6sp64g,http://zhuanzhuan.58.com/detail/881823506609373193z.shtml
109,0,283,"['广州', '番禺']",全新毛绒抱抱熊～全新的，公仔长度1米，不包邮……,http://zhuanzhuan.58.com/detail/750383060997816323z.shtml
780,18,805,"['广州', '黄埔']",华为超薄游戏平板，个人处理，全网通，运行4g，学习机，工作机,http://zhuanzhuan.58.com/detail/885875317688762377z.shtml
1800,0,78,"['广州', '白云']",Rimowa日默瓦  拉杆箱/拉箱,http://zhuanzhuan.58.com/detail/887205167946399751z.shtml
1580,0,67,"['广州', '番禺']",九层新摩托车低价转让,http://zhuanzhuan.58.com/detail/892026540537708553z.shtml
738,0,69,"['广州', '白云']",48V电动车着急出，电池很好,http://zhuanzhuan.58.com/detail/892291922593989133z.shtml
30,0,205,"['广州', '海珠']",ipad保护套,http://zhuanzhuan.58.com/detail/789473378024275972z.shtml
35,0,57,"['广州', '荔湾']",雪纺百褶拼色连衣裙蓬蓬裙,http://zhuanzhuan.58.com/detail/747820766898847746z.shtml
85,0,15,"['广州', '天河']",Haier/海尔智能体脂秤脂肪秤家用瘦身精准测体重秤,http://zhuanzhuan.58.com/detail/891924042081517577z.shtml
750,6,392,"['广州', '海珠']",一匹冷暖机,http://zhuanzhuan.58.com/detail/891862020289773574z.shtml
190,2,164,"['广州', '番禺']",9.5成新华硕p8h61主板，套板  有cpu  内存,http://zhuanzhuan.58.com/detail/891530374053167113z.shtml
880,2,95,"['广州', '白云']",bv男士旅行包 专柜款,http://zhuanzhuan.58.com/detail/868621747736789003z.shtml
38,0,2,"['广州', '白云']",千彩手写板,http://zhuanzhuan.58.com/detail/892000721821697035z.shtml
1900,10,2886,"['广州', '花都']",OPPO R9 oppor9,http://zhuanzhuan.58.com/detail/804851128506679302z.shtml
1900,1,228,"['广州', '白云']",急用钱出air,http://zhuanzhuan.58.com/detail/889529455970598925z.shtml
2550,7,1987,"['广州', '番禺']",苹果 iPhone6s 苹果6S 64G,http://zhuanzhuan.58.com/detail/865698736585752589z.shtml
880,0,66,"['广州', '白云']",百诺三脚架C1690TB0,http://zhuanzhuan.58.com/detail/883346863367127049z.shtml
60,0,28,"['广州', '海珠']",2017年注册造价工程师历年真题 土建/安装 造价师教材,http://zhuanzhuan.58.com/detail/876739050880827404z.shtml
250,6,1632,"['广州', '白云']",平板电脑,http://zhuanzhuan.58.com/detail/859311513123471367z.shtml
38,0,39,"['广州', '番禺']",基金学习考试材料,http://zhuanzhuan.58.com/detail/892007231201099782z.shtml
1.6万,1,31,"['广州', '白云']",出售出租多辆观光车,http://zhuanzhuan.58.com/detail/891816528600498184z.shtml
58,0,16,"['广州', '海珠']",现货2017全国护士执业资格考试指导用书教材+精编+练习+试,http://zhuanzhuan.58.com/detail/888052240160833548z.shtml
300,0,30,"['广州', '天河']",沙发床新买时是品牌贵，所以质量超好，结实，只是布艺有些磨了,http://zhuanzhuan.58.com/detail/892249711236169734z.shtml
300,1,45,"['广州', '白云']",转奕贝婴儿床一个,http://zhuanzhuan.58.com/detail/889010789702828043z.shtml
864,0,250,"['广州', '增城']",Sansui/山水SS1-12户外广场舞台拉杆音箱12寸音,http://zhuanzhuan.58.com/detail/862525696608780294z.shtml
290,0,14,"['杭州', '萧山']",三件打包出 only牛仔风衣 过膝靴 羊毛套头毛衣,http://zhuanzhuan.58.com/detail/892311726033321996z.shtml
5500,2,258,"['中山', '三乡']",苹果 iPhone7 Plus 苹果7p128G磨砂黑.国行 三网全通.7288买的，全新,http://zhuanzhuan.58.com/detail/891964303580103177z.shtml
12,0,16,"['广州', '白云']",正版八下地理书  拍下送复习资料,http://zhuanzhuan.58.com/detail/888261812575518729z.shtml
3200,0,875,"['广州', '天河']",苹果 iPhone6 Plus 港行 iPhone6 plus 金色 16g 八成新,http://zhuanzhuan.58.com/detail/798525126129156102z.shtml
1100,17,11237,"['广州', '天河']",惠威音响mk3,http://zhuanzhuan.58.com/detail/797994335927386116z.shtml
1998,0,258,"['广州', '白云']",三星 S7 三星s7,http://zhuanzhuan.58.com/detail/886901999188852743z.shtml
1700,4,237,"['广州', '白云']",苹果笔记本电脑macbook,http://zhuanzhuan.58.com/detail/890715548632465419z.shtml
2213,123,38355,"['广州', '佛山']",苹果 iPhone SE 转手女生自用iPhonese 国行,http://zhuanzhuan.58.com/detail/806390163752058885z.shtml
50,0,11,"['广州', '天河']",原装全新未用电脑小音箱,http://zhuanzhuan.58.com/detail/891695082280992779z.shtml
50,0,5,"['绥化', '青冈']",女生蓝色连帽防晒服，九成新,http://zhuanzhuan.58.com/detail/892349599853756424z.shtml
500,0,1080,"['广州', '白云']",小硕士婴儿床,http://zhuanzhuan.58.com/detail/758534418714411012z.shtml
800,0,160,"['广州', '番禺']",飞利浦42寸等离子电视800元,http://zhuanzhuan.58.com/detail/891111358491475975z.shtml
243,0,24,"['广州', '白云']",密码行李箱,http://zhuanzhuan.58.com/detail/882146195658162184z.shtml
160,8,298,"['广州', '白云']",全新USB充电拉杆箱旅行箱行李箱20寸24寸,http://zhuanzhuan.58.com/detail/873750122623090700z.shtml
280,0,50,"['广州', '番禺']",19寸液晶显示器,http://zhuanzhuan.58.com/detail/890824772772937739z.shtml
1500,25,2601,"['广州', '白云']",vivo X7 ViV0,http://zhuanzhuan.58.com/detail/833165788450717704z.shtml
50,0,37,"['广州', '天河']",行李箱,http://zhuanzhuan.58.com/detail/888653665145946118z.shtml
20,0,5,"['广州', '花都']",转让FAST迅捷 FD880D ADSL宽带猫,http://zhuanzhuan.58.com/detail/891603696899833867z.shtml
1280,3,192,"['广州', '番禺']",转让八成新48伏大公主电动车,http://zhuanzhuan.58.com/detail/891335848279392781z.shtml
130,0,55,"['广州', '海珠']",拉杆书包，三轮，可以直接爬楼梯不要提,http://zhuanzhuan.58.com/detail/869071366527926279z.shtml
1580,13,1231,"['广州', '东莞']",原装苹果ipadmini2国行64G 7.9寸wifi版银色,http://zhuanzhuan.58.com/detail/873915718884032525z.shtml
1750,2,181,"['广州', '萝岗']",三星 S7 国行双卡s7,http://zhuanzhuan.58.com/detail/892163741795483654z.shtml
2500,0,797,"['广州', '黄埔']",苹果 iPhone6s 诚心收一台6s或6sp,http://zhuanzhuan.58.com/detail/876125928587739147z.shtml
20,0,12,"['广州', '花都']",《斗罗大陆3龙王传说17册》,http://zhuanzhuan.58.com/detail/890970332722675719z.shtml
2180,0,143,"['广州', '黄埔']",电动滑板自行车,http://zhuanzhuan.58.com/detail/891844615744946694z.shtml
1100,73,9027,"['广州', '白云']",小米 小米5 小米小米5使用半年99成新,http://zhuanzhuan.58.com/detail/847865995080089609z.shtml
79,3,146,"['广州', '番禺']",大牌婴儿推车手推伞车简易折叠超轻便携折叠小孩儿童宝宝四轮避震,http://zhuanzhuan.58.com/detail/889857098902421515z.shtml
1400,5,570,"['广州', '番禺']",iPad3,http://zhuanzhuan.58.com/detail/843275177124347905z.shtml
20,2,43,"['广州', '番禺']",pass绿卡图书高中化学知识大全,http://zhuanzhuan.58.com/detail/889803620724326411z.shtml
167,5,715,"['广州', '番禺']",9.8成新娇贝婴儿高景观减震手推车,http://zhuanzhuan.58.com/detail/778783781194448900z.shtml
200,0,639,"['广州', '白云']",酷派  酷派大神,http://zhuanzhuan.58.com/detail/879713379882516493z.shtml
26,6,2992,"['广州', '白云']",大号时尚组合快笼加刀架二合一,http://zhuanzhuan.58.com/detail/739412220763078657z.shtml
750,2,481,"['广州', '番禺']",全新原装正品remix超级平板电脑,http://zhuanzhuan.58.com/detail/872414108358819848z.shtml
1200,0,6,"['广州', '白云']",RECARO 莫扎特2代儿童安全座椅 九成新、说明书、质保卡,http://zhuanzhuan.58.com/detail/892263781431050246z.shtml
